,date,max_rain_day,no_of_rainy_days,total_rainfall,mean_rh,riders
0,2014-01-01,31.2,5,75.4,78.5,649460
1,2014-02-01,0.2,1,0.2,74.5,627959
2,2014-03-01,52.6,6,66.0,76.0,637010
3,2014-04-01,28.8,17,110.0,80.0,637727
4,2014-05-01,22.2,18,125.8,80.2,641864
5,2014-06-01,18.8,11,71.4,77.5,654114
6,2014-07-01,29.0,15,148.6,78.3,678218
7,2014-08-01,44.2,20,241.0,79.7,687131
8,2014-09-01,34.6,9,83.6,75.6,684510
9,2014-10-01,32.8,10,120.0,77.0,676531
10,2014-11-01,64.4,23,250.8,82.4,668592
11,2014-12-01,48.2,17,245.6,82.6,692202
12,2015-01-01,33.6,6,79.6,77.6,686426
13,2015-02-01,10.8,6,18.8,75.4,691918
14,2015-03-01,46.0,5,84.4,75.8,688147
15,2015-04-01,18.8,13,73.2,77.1,689305
16,2015-05-01,22.2,12,89.0,78.9,696010
17,2015-06-01,28.4,10,95.8,75.8,695964
18,2015-07-01,45.8,13,116.8,74.9,738130
19,2015-08-01,63.2,11,185.8,76.7,736760
20,2015-09-01,18.4,8,61.6,75.0,713374
21,2015-10-01,28.6,9,87.2,75.4,724470
22,2015-11-01,25.8,13,72.6,79.1,708426
23,2015-12-01,40.4,19,302.3,81.1,771239
24,2016-01-01,39.6,15,126.6,79.6,875831
25,2016-02-01,71.8,10,186.0,78.8,859465
26,2016-03-01,2.4,6,6.2,74.7,880966
27,2016-04-01,18.2,14,89.8,75.6,879413
28,2016-05-01,54.8,12,193.8,77.4,886145
29,2016-06-01,67.8,13,162.8,77.7,882270
30,2016-07-01,59.4,20,168.6,77.3,924305
31,2016-08-01,30.6,15,139.2,74.0,931257
32,2016-09-01,34.0,15,118.9,73.9,931944
33,2016-10-01,75.4,16,181.0,72.0,924299
34,2016-11-01,65.6,20,290.2,77.6,903336
35,2016-12-01,73.0,23,292.6,72.8,908271
36,2017-01-01,60.6,21,197.6,84.8,934363
37,2017-02-01,31.0,15,158.4,83.2,948224
38,2017-03-01,30.2,11,136.2,82.5,955433
39,2017-04-01,42.8,21,208.6,83.5,937046
40,2017-05-01,44.8,15,190.0,82.8,925537
41,2017-06-01,29.6,10,106.0,80.2,919224
42,2017-07-01,30.2,9,79.6,79.6,970856
43,2017-08-01,29.4,18,84.2,79.9,974022
44,2017-09-01,20.2,19,124.4,81.0,949122
45,2017-10-01,31.2,18,120.8,82.5,1010020
46,2017-11-01,45.2,24,268.6,86.3,1102296
47,2017-12-01,69.8,23,371.2,85.2,1079944
48,2018-01-01,45.8,25,287.0,86.6,1142026
49,2018-02-01,13.0,5,14.8,77.2,1141750
50,2018-03-01,15.2,10,44.6,78.4,1144294
51,2018-04-01,14.0,14,61.2,78.5,1149121
52,2018-05-01,47.4,19,132.2,79.0,1146071
53,2018-06-01,46.8,17,182.6,79.3,1140105
54,2018-07-01,32.4,10,143.2,77.7,1222488
55,2018-08-01,34.6,11,121.6,77.0,1212155
56,2018-09-01,45.0,13,144.4,77.1,1210267
57,2018-10-01,60.6,18,234.4,79.7,1221798
58,2018-11-01,20.6,27,169.6,83.2,1182284
59,2018-12-01,43.8,19,172.6,81.5,1152919
60,2019-01-01,38.2,9,63.6,75.6,1250833
61,2019-02-01,13.4,5,31.6,74.1,1186795
62,2019-03-01,29.0,6,72.2,72.3,1217877
63,2019-04-01,52.4,9,174.8,77.6,1213490
64,2019-05-01,17.2,13,69.0,79.2,1201397
65,2019-06-01,37.6,16,173.8,79.5,1167470
66,2019-07-01,6.6,8,12.2,75.2,1273328
67,2019-08-01,3.8,6,11.8,72.1,1238783
68,2019-09-01,16.4,4,22.8,73.0,1236770
69,2019-10-01,92.2,15,176.8,78.1,1241812
70,2019-11-01,73.4,15,137.4,79.2,1213402
71,2019-12-01,74.2,14,421.5,83.9,1170724
72,2020-01-01,38.0,6,88.4,77.9,1195131
73,2020-02-01,23.8,8,65.0,76.0,1016292
74,2020-03-01,47.4,8,108.8,75.2,923319
75,2020-04-01,51.8,12,188.0,76.4,288664
76,2020-05-01,53.8,16,255.6,79.1,195515
77,2020-06-01,41.0,21,233.8,80.2,421444
78,2020-07-01,30.4,22,140.8,78.2,628983
79,2020-08-01,34.6,12,103.4,76.8,685186
80,2020-09-01,32.8,18,150.2,79.0,735858
81,2020-10-01,19.0,16,78.8,75.4,776078
82,2020-11-01,64.2,19,220.6,81.7,795843
83,2020-12-01,58.2,20,253.2,81.1,850271
84,2021-01-01,210.6,17,692.8,82.6,844322
85,2021-02-01,0.6,2,1.0,73.8,853580
86,2021-03-01,38.0,14,182.4,76.6,882892
87,2021-04-01,83.8,14,290.4,77.4,897317
88,2021-05-01,49.8,13,245.8,79.3,621167
89,2021-06-01,23.8,20,93.4,77.8,569958
90,2021-07-01,75.0,12,195.8,76.5,675404
91,2021-08-01,71.4,24,293.6,80.4,685256
92,2021-09-01,63.4,14,205.4,77.3,729145
93,2021-10-01,59.6,14,177.0,78.3,640011
94,2021-11-01,47.8,23,312.4,81.7,709651
95,2021-12-01,46.8,15,119.6,79.7,819753
96,2022-01-01,50.0,9,99.8,77.4,848905
97,2022-02-01,29.6,16,175.0,80.3,781820
98,2022-03-01,36.2,21,163.2,79.2,853049
99,2022-04-01,58.8,18,239.6,80.0,930979
100,2022-05-01,44.6,12,102.0,76.5,974217
101,2022-06-01,59.4,17,211.8,79.1,1006992
102,2022-07-01,27.8,16,145.2,76.8,1016961
103,2022-08-01,32.4,15,141.4,77.4,1067320
